N;E_ID;point_N;T_ID;year;month;day;hour;min;sec;lat;lon
1;100670;1;1;2007;4;4;6;8;35;45.559654;9.255338
2;100670;2;1;2007;4;4;11;54;52;45.559826;9.242747
3;100670;3;1;2007;4;4;11;55;56;45.558155;9.254091
4;100670;4;1;2007;4;4;11;56;30;45.55777;9.253597
5;100670;5;1;2007;4;4;11;57;1;45.555424;9.251284
6;100670;6;1;2007;4;4;11;57;33;45.55406;9.250049
7;100670;7;1;2007;4;4;11;58;5;45.55213;9.246142
8;100670;8;1;2007;4;4;11;58;37;45.5506;9.244177
9;100670;9;1;2007;4;4;11;59;8;45.549644;9.241945
10;100670;10;1;2007;4;4;11;59;41;45.549015;9.237343
11;100670;11;1;2007;4;4;12;0;12;45.548923;9.23805
12;100670;12;1;2007;4;4;12;0;44;45.548267;9.239025
13;100670;13;1;2007;4;4;12;1;57;45.5488;9.23926
14;100670;14;1;2007;4;4;12;2;29;45.549583;9.242387
15;100670;15;1;2007;4;4;12;3;1;45.550896;9.244035
16;100670;16;1;2007;4;4;12;3;32;45.552036;9.245494
17;100670;17;1;2007;4;4;12;4;5;45.55232;9.248348
18;100670;18;1;2007;4;4;12;4;36;45.55225;9.248406
19;100670;19;1;2007;4;4;12;5;9;45.554718;9.250764
20;100670;20;1;2007;4;4;12;5;40;45.556854;9.25279
21;100670;21;1;2007;4;4;12;6;12;45.55687;9.252814
22;100670;22;1;2007;4;4;12;6;43;45.559734;9.255475
23;100735;1;2;2007;4;4;7;14;1;45.544098;9.266593
24;100735;2;2;2007;4;4;7;19;57;45.530666;9.276346
25;100735;3;2;2007;4;4;7;23;20;45.52523;9.272422
26;100735;4;2;2007;4;4;7;27;2;45.52523;9.272421
27;100735;5;2;2007;4;4;7;31;14;45.52922;9.278396
28;100735;6;2;2007;4;4;7;52;2;45.52922;9.278396
29;100735;7;2;2007;4;4;8;29;18;45.52789;9.276348
30;100735;8;2;2007;4;4;8;34;27;45.542244;9.269204
31;100735;9;2;2007;4;4;8;36;6;45.54422;9.267594
32;100735;10;2;2007;4;4;9;19;42;45.544598;9.266518
33;100735;11;2;2007;4;4;9;24;19;45.5288;9.266183
34;100735;12;2;2007;4;4;9;28;2;45.533844;9.246739
35;100735;13;2;2007;4;4;9;33;51;45.540092;9.229982
36;100735;14;2;2007;4;4;9;34;56;45.53934;9.22971
37;100735;15;2;2007;4;4;11;33;26;45.53977;9.229964
38;100735;16;2;2007;4;4;11;39;32;45.53087;9.25228
39;100735;17;2;2007;4;4;11;42;36;45.532276;9.267927
40;100735;18;2;2007;4;4;11;46;30;45.54449;9.267552
41;100783;1;3;2007;4;4;15;30;41;45.399998;9.268054
42;100783;2;3;2007;4;4;15;39;21;45.409;9.269158
43;100783;3;3;2007;4;4;16;46;30;45.410957;9.265107
44;100783;4;3;2007;4;4;16;49;16;45.403206;9.267705
45;100783;5;3;2007;4;4;19;53;51;45.403034;9.266866
46;100783;6;3;2007;4;4;19;56;39;45.40192;9.271643
47;100783;7;3;2007;4;4;19;59;7;45.4023;9.271731
48;100783;8;3;2007;4;4;20;2;41;45.414852;9.26256
49;100783;9;3;2007;4;4;20;7;50;45.425198;9.265361
50;100783;10;3;2007;4;4;21;10;0;45.42477;9.266816
51;100783;11;3;2007;4;4;21;23;38;45.416225;9.261702
52;100783;12;3;2007;4;4;21;26;14;45.404823;9.267589
53;100783;13;3;2007;4;4;21;27;59;45.40329;9.267816
54;101442;1;4;2007;4;4;6;7;39;45.55731;9.138786
55;101442;2;4;2007;4;4;6;11;29;45.541904;9.126309
56;101442;3;4;2007;4;4;6;19;5;45.544277;9.113041
57;101442;4;4;2007;4;4;6;40;25;45.544285;9.113031
58;101442;5;4;2007;4;4;6;42;49;45.542778;9.114164
59;101442;6;4;2007;4;4;6;49;3;45.54218;9.11311
60;101442;7;4;2007;4;4;6;53;46;45.539104;9.086944
61;101442;8;4;2007;4;4;6;57;1;45.531162;9.072065
62;101442;9;4;2007;4;4;9;14;57;45.540096;9.081051
63;101442;10;4;2007;4;4;9;19;29;45.54611;9.096907
64;101442;11;4;2007;4;4;9;23;2;45.55142;9.111443
65;101442;12;4;2007;4;4;9;25;37;45.55833;9.12767
66;101442;13;4;2007;4;4;9;28;10;45.556946;9.13904
67;101626;1;5;2007;4;4;10;45;38;45.559444;9.25626
68;101626;2;5;2007;4;4;10;47;44;45.559383;9.241191
69;101626;3;5;2007;4;4;10;48;17;45.554935;9.239452
70;101626;4;5;2007;4;4;10;48;48;45.55329;9.238815
71;101626;5;5;2007;4;4;10;49;19;45.55329;9.238808
72;101626;6;5;2007;4;4;10;49;52;45.54977;9.236787
73;101626;7;5;2007;4;4;10;50;23;45.546497;9.227357
74;101626;8;5;2007;4;4;10;50;55;45.544483;9.222179
75;101626;9;5;2007;4;4;10;51;27;45.54445;9.222132
76;101626;10;5;2007;4;4;10;51;58;45.541492;9.220313
77;101626;11;5;2007;4;4;10;52;31;45.53566;9.217053
78;101626;12;5;2007;4;4;10;53;2;45.53339;9.215797
79;101626;13;5;2007;4;4;10;53;34;45.533157;9.215842
80;101626;14;5;2007;4;4;10;54;6;45.53319;9.216074
81;101626;15;5;2007;4;4;10;54;38;45.535397;9.217366
82;101626;16;5;2007;4;4;10;55;9;45.54007;9.220199
83;101626;17;5;2007;4;4;10;55;51;45.54061;9.22063
84;101626;18;5;2007;4;4;12;33;50;45.53896;9.222788
85;101626;19;5;2007;4;4;12;37;41;45.55006;9.237355
86;101626;20;5;2007;4;4;12;39;39;45.559433;9.242781
87;101626;21;5;2007;4;4;12;42;20;45.558975;9.257163
88;101626;22;5;2007;4;4;12;42;59;45.556988;9.263101
89;101626;23;5;2007;4;4;12;43;31;45.557884;9.264307
90;102498;1;6;2007;4;4;8;33;35;45.414417;9.060713
91;102498;2;6;2007;4;4;8;39;40;45.42501;9.069423
92;102498;3;6;2007;4;4;8;40;50;45.427704;9.076335
93;102498;4;6;2007;4;4;8;41;22;45.429447;9.080654
94;102498;5;6;2007;4;4;8;41;53;45.430676;9.083904
95;102498;6;6;2007;4;4;8;42;57;45.43091;9.084679
96;102498;7;6;2007;4;4;8;43;28;45.43125;9.08436
97;102498;8;6;2007;4;4;8;44;1;45.431747;9.082702
98;102498;9;6;2007;4;4;8;44;22;45.431755;9.08272
99;102498;10;6;2007;4;4;9;36;46;45.431763;9.082545
100;102498;11;6;2007;4;4;9;39;51;45.434628;9.094278
101;102498;12;6;2007;4;4;9;42;10;45.443104;9.116967
102;102498;13;6;2007;4;4;9;47;2;45.45645;9.118181
103;102498;14;6;2007;4;4;9;51;12;45.460987;9.134813
104;102498;15;6;2007;4;4;10;32;16;45.46101;9.134959
105;102498;16;6;2007;4;4;10;36;12;45.45483;9.110334
106;102498;17;6;2007;4;4;10;38;16;45.45555;9.086601
107;102498;18;6;2007;4;4;10;38;48;45.45756;9.07859
108;102498;19;6;2007;4;4;10;39;20;45.45756;9.078562
109;102498;20;6;2007;4;4;10;39;52;45.457027;9.073369
110;102498;21;6;2007;4;4;10;40;25;45.45721;9.06802
111;102498;22;6;2007;4;4;10;40;57;45.456566;9.063275
112;102498;23;6;2007;4;4;10;41;29;45.45499;9.057712
113;102498;24;6;2007;4;4;10;42;2;45.45316;9.051046
114;102759;1;7;2007;4;4;15;22;46;45.509018;9.135573
115;102759;2;7;2007;4;4;15;30;51;45.52023;9.143101
116;102759;3;7;2007;4;4;15;36;13;45.530792;9.154373
117;102759;4;7;2007;4;4;15;38;34;45.531067;9.162793
118;102759;5;7;2007;4;4;15;42;59;45.531067;9.162793
119;102759;6;7;2007;4;4;15;46;52;45.52029;9.172047
120;102759;7;7;2007;4;4;16;17;0;45.520298;9.17207
121;102759;8;7;2007;4;4;16;23;32;45.536533;9.162263
122;102759;9;7;2007;4;4;16;27;35;45.553627;9.165344
123;102759;10;7;2007;4;4;21;46;22;45.55962;9.172091
124;102759;11;7;2007;4;4;21;47;54;45.54406;9.161557
125;102759;12;7;2007;4;4;21;49;22;45.526657;9.167014
126;102759;13;7;2007;4;4;21;52;21;45.51302;9.167066
127;102759;14;7;2007;4;4;21;54;38;45.508904;9.148645
128;102759;15;7;2007;4;4;22;1;7;45.50954;9.135405
129;102764;1;8;2007;4;4;5;35;41;45.503174;9.207802
130;102764;2;8;2007;4;4;5;46;20;45.4889;9.209793
131;102764;3;8;2007;4;4;5;52;4;45.476448;9.217079
132;102764;4;8;2007;4;4;5;58;33;45.458027;9.217226
133;102764;5;8;2007;4;4;6;3;40;45.44232;9.212842
134;102764;6;8;2007;4;4;6;7;46;45.428;9.228236
135;102764;7;8;2007;4;4;6;11;2;45.416885;9.239656
136;102764;8;8;2007;4;4;6;25;19;45.416885;9.239654
137;102764;9;8;2007;4;4;6;30;15;45.430378;9.225247
138;102764;10;8;2007;4;4;6;37;29;45.444366;9.215112
139;102764;11;8;2007;4;4;6;48;50;45.458122;9.204927
140;102764;12;8;2007;4;4;6;57;16;45.475025;9.2033
141;102764;13;8;2007;4;4;7;3;10;45.48876;9.199919
142;102764;14;8;2007;4;4;8;7;56;45.49402;9.205651
143;102764;15;8;2007;4;4;8;17;10;45.483047;9.189559
144;102764;16;8;2007;4;4;8;20;50;45.490005;9.169814
145;102764;17;8;2007;4;4;8;21;32;45.49022;9.170132
146;102764;18;8;2007;4;4;9;10;5;45.486427;9.160247
147;102764;19;8;2007;4;4;9;16;45;45.48426;9.179933
148;102764;20;8;2007;4;4;9;21;34;45.488358;9.199456
149;102764;21;8;2007;4;4;9;30;54;45.50331;9.208062
150;102867;1;9;2007;4;4;16;10;52;45.47142;9.214629
151;102867;2;9;2007;4;4;16;14;17;45.473164;9.213422
152;102867;3;9;2007;4;4;16;17;48;45.473106;9.212926
153;102867;4;9;2007;4;4;16;31;56;45.451942;9.202421
154;102867;5;9;2007;4;4;16;41;20;45.452255;9.178737
155;102867;6;9;2007;4;4;16;48;26;45.456665;9.169524
156;102867;7;9;2007;4;4;16;52;3;45.456657;9.169537
157;102867;8;9;2007;4;4;17;6;40;45.451164;9.192817
158;102867;9;9;2007;4;4;17;15;51;45.447052;9.2099
159;102867;10;9;2007;4;4;17;23;20;45.4364;9.231427
160;102867;11;9;2007;4;4;17;25;6;45.42343;9.245521
161;102867;12;9;2007;4;4;17;26;33;45.408222;9.260321
162;102867;13;9;2007;4;4;17;28;7;45.39355;9.260498
163;102867;14;9;2007;4;4;17;28;39;45.39093;9.261653
164;102867;15;9;2007;4;4;17;29;11;45.38821;9.264188
165;102867;16;9;2007;4;4;17;29;43;45.383133;9.270064
166;102867;17;9;2007;4;4;17;30;14;45.376804;9.277557
167;102977;1;10;2007;4;4;15;28;0;45.532265;9.272648
168;102977;2;10;2007;4;4;15;29;31;45.51774;9.261566
169;102977;3;10;2007;4;4;15;31;3;45.5007;9.255601
170;102977;4;10;2007;4;4;15;32;30;45.48217;9.251346
171;102977;5;10;2007;4;4;15;34;12;45.464233;9.250104
172;102977;6;10;2007;4;4;15;40;59;45.45854;9.242419
173;102977;7;10;2007;4;4;15;42;31;45.458637;9.242576
174;102977;8;10;2007;4;4;16;35;16;45.458633;9.242576
175;102977;9;10;2007;4;4;16;42;10;45.45608;9.230205
176;102977;10;10;2007;4;4;16;47;17;45.449863;9.220617
177;103018;1;11;2007;4;4;11;49;57;45.457718;9.183786
178;103018;2;11;2007;4;4;12;7;37;45.471603;9.169657
179;103018;3;11;2007;4;4;12;9;27;45.472218;9.166895
180;103018;4;11;2007;4;4;13;6;1;45.471664;9.167298
181;103018;5;11;2007;4;4;13;15;38;45.477455;9.180169
182;103018;6;11;2007;4;4;13;23;0;45.481148;9.199687
183;103018;7;11;2007;4;4;13;26;14;45.484818;9.204848
184;103018;8;11;2007;4;4;13;28;54;45.484818;9.204848
185;103018;9;11;2007;4;4;13;40;53;45.47358;9.204066
186;103018;10;11;2007;4;4;13;49;21;45.462563;9.193865
187;103018;11;11;2007;4;4;13;57;4;45.457565;9.183829
188;103496;1;12;2007;4;4;9;20;3;45.558006;9.279913
189;103496;2;12;2007;4;4;9;20;35;45.557198;9.273691
190;103496;3;12;2007;4;4;9;21;7;45.557163;9.268655
191;103496;4;12;2007;4;4;9;21;39;45.55725;9.267072
192;103496;5;12;2007;4;4;9;22;21;45.55746;9.265291
193;103496;6;12;2007;4;4;9;22;53;45.557323;9.264113
194;103496;7;12;2007;4;4;9;23;40;45.559105;9.257202
195;103496;8;12;2007;4;4;10;56;24;45.558723;9.263468
196;103496;9;12;2007;4;4;10;56;56;45.55435;9.265699
197;103496;10;12;2007;4;4;10;57;28;45.554993;9.26901
198;103496;11;12;2007;4;4;10;58;1;45.556683;9.272934
199;103793;1;13;2007;4;4;20;47;49;45.55377;9.263618
200;103793;2;13;2007;4;4;20;50;42;45.538948;9.247789
201;103793;3;13;2007;4;4;20;54;31;45.52644;9.23033
202;103793;4;13;2007;4;4;20;58;38;45.527077;9.215137
203;103793;5;13;2007;4;4;21;1;40;45.522423;9.214775
204;103793;6;13;2007;4;4;22;3;20;45.522476;9.21477
205;103793;7;13;2007;4;4;22;7;35;45.53072;9.227689
206;103793;8;13;2007;4;4;22;10;50;45.53299;9.24167
207;103793;9;13;2007;4;4;22;14;31;45.548035;9.256862
208;103793;10;13;2007;4;4;22;16;37;45.54825;9.275068
209;103810;1;14;2007;4;4;8;4;30;45.55671;9.261855
210;103810;2;14;2007;4;4;8;6;58;45.530514;9.253684
211;103810;3;14;2007;4;4;8;11;44;45.525085;9.232439
212;103810;4;14;2007;4;4;8;16;21;45.517902;9.212608
213;103810;5;14;2007;4;4;8;19;59;45.501774;9.210167
214;103810;6;14;2007;4;4;8;20;43;45.50215;9.209674
215;103810;7;14;2007;4;4;9;6;44;45.502148;9.209674
216;103810;8;14;2007;4;4;9;10;47;45.518635;9.221198
217;103810;9;14;2007;4;4;9;16;48;45.52961;9.238047
218;103810;10;14;2007;4;4;9;21;9;45.544174;9.253167
219;103810;11;14;2007;4;4;9;24;17;45.55898;9.267633
220;104041;1;15;2007;4;4;8;10;24;45.559223;9.132662
221;104041;2;15;2007;4;4;8;15;24;45.544704;9.142102
222;104041;3;15;2007;4;4;8;18;19;45.528507;9.147266
223;104041;4;15;2007;4;4;8;22;53;45.512897;9.159143
224;104041;5;15;2007;4;4;8;26;24;45.50139;9.171069
225;104041;6;15;2007;4;4;13;15;29;45.50153;9.170887
226;104041;7;15;2007;4;4;13;54;45;45.49836;9.177936
227;104041;8;15;2007;4;4;13;58;46;45.49825;9.166844
228;104041;9;15;2007;4;4;14;0;52;45.487087;9.146895
229;104041;10;15;2007;4;4;14;3;18;45.498108;9.130479
230;104041;11;15;2007;4;4;14;4;33;45.514637;9.12278
231;104041;12;15;2007;4;4;14;5;6;45.51955;9.113259
232;104041;13;15;2007;4;4;14;5;37;45.524265;9.104765
233;104041;14;15;2007;4;4;14;6;9;45.52941;9.095254
234;104041;15;15;2007;4;4;14;6;40;45.536003;9.083004
235;104041;16;15;2007;4;4;14;7;12;45.54246;9.070927
236;104041;17;15;2007;4;4;14;7;44;45.548058;9.060783
237;104041;18;15;2007;4;4;14;8;16;45.55082;9.055611
238;104041;19;15;2007;4;4;14;8;48;45.55359;9.052487
239;104041;20;15;2007;4;4;14;9;20;45.55508;9.052184
240;104041;21;15;2007;4;4;14;9;51;45.55521;9.052283
241;104041;22;15;2007;4;4;14;10;23;45.555134;9.053257
242;104041;23;15;2007;4;4;14;10;55;45.558792;9.052367
243;104088;1;16;2007;4;4;11;22;13;45.558296;9.265887
244;104088;2;16;2007;4;4;11;23;24;45.559452;9.25708
245;104088;3;16;2007;4;4;11;29;47;45.5598;9.213439
246;104088;4;16;2007;4;4;11;30;19;45.55835;9.210541
247;104088;5;16;2007;4;4;11;30;51;45.557404;9.211471
248;104088;6;16;2007;4;4;11;31;35;45.557446;9.211468
249;104088;7;16;2007;4;4;11;32;6;45.558937;9.211705
250;104088;8;16;2007;4;4;11;32;39;45.5599;9.209926
251;104088;9;16;2007;4;4;11;33;11;45.559647;9.20684
252;104088;10;16;2007;4;4;13;29;40;45.559418;9.21044
253;104088;11;16;2007;4;4;13;30;59;45.55577;9.214641
254;104088;12;16;2007;4;4;13;34;25;45.554115;9.216562
255;104088;13;16;2007;4;4;13;42;57;45.559437;9.255979
256;104088;14;16;2007;4;4;13;43;44;45.556877;9.263361
257;104088;15;16;2007;4;4;13;44;17;45.557423;9.2635
258;104616;1;17;2007;4;4;9;36;28;45.477947;9.090783
259;104616;2;17;2007;4;4;9;41;46;45.47604;9.113059
260;104616;3;17;2007;4;4;9;47;2;45.465282;9.131065
261;104616;4;17;2007;4;4;9;50;28;45.462727;9.142604
262;104616;5;17;2007;4;4;12;52;2;45.4627;9.142692
263;104616;6;17;2007;4;4;13;0;20;45.467014;9.126909
264;104616;7;17;2007;4;4;13;3;59;45.477997;9.107817
265;104616;8;17;2007;4;4;13;5;29;45.480312;9.101072
266;104616;9;17;2007;4;4;13;11;21;45.480312;9.101072
267;104616;10;17;2007;4;4;13;17;6;45.477978;9.090756
268;105091;1;18;2007;4;4;7;2;35;45.4278;9.060564
269;105091;2;18;2007;4;4;10;33;40;45.422226;9.061189
270;105091;3;18;2007;4;4;10;37;12;45.421833;9.059922
271;105091;4;18;2007;4;4;11;30;55;45.428288;9.06077
272;105091;5;18;2007;4;4;11;36;15;45.427956;9.079065
273;105091;6;18;2007;4;4;11;39;9;45.42682;9.081555
274;105091;7;18;2007;4;4;12;48;47;45.426918;9.081547
275;105091;8;18;2007;4;4;12;51;38;45.428936;9.0861
276;105091;9;18;2007;4;4;13;1;1;45.428936;9.0861
277;105091;10;18;2007;4;4;13;8;9;45.422108;9.062789
278;105091;11;18;2007;4;4;13;8;58;45.421696;9.061197
279;105886;1;19;2007;4;4;15;2;47;45.469402;9.137397
280;105886;2;19;2007;4;4;15;3;30;45.469585;9.137041
281;105886;3;19;2007;4;4;15;21;2;45.470398;9.137579
282;105886;4;19;2007;4;4;15;41;27;45.447407;9.088698
283;105886;5;19;2007;4;4;15;42;8;45.444935;9.086178
284;105886;6;19;2007;4;4;15;46;52;45.445366;9.086172
285;105886;7;19;2007;4;4;16;52;43;45.444847;9.086501
286;105886;8;19;2007;4;4;16;53;3;45.444725;9.086547
287;105886;9;19;2007;4;4;16;58;22;45.445217;9.091182
288;105886;10;19;2007;4;4;19;38;5;45.44178;9.099299
289;105886;11;19;2007;4;4;19;38;24;45.44188;9.099453
290;105886;12;19;2007;4;4;20;6;25;45.44531;9.121218
291;106224;1;20;2007;4;4;7;59;37;45.375404;9.279449
292;106224;2;20;2007;4;4;8;0;42;45.389774;9.262742
293;106224;3;20;2007;4;4;8;2;28;45.40767;9.261699
294;106224;4;20;2007;4;4;8;3;44;45.422997;9.250402
295;106224;5;20;2007;4;4;8;5;1;45.435715;9.232929
296;106224;6;20;2007;4;4;8;8;57;45.45067;9.224293
297;106224;7;20;2007;4;4;8;20;2;45.4623;9.209476
298;106224;8;20;2007;4;4;8;21;48;45.46337;9.210426
299;106224;9;20;2007;4;4;9;31;1;45.46337;9.210426
300;106224;10;20;2007;4;4;9;33;21;45.46337;9.210426
301;106224;11;20;2007;4;4;9;41;51;45.462143;9.229722
302;106224;12;20;2007;4;4;9;45;36;45.45696;9.252246
303;106224;13;20;2007;4;4;9;46;57;45.439617;9.256469
304;106224;14;20;2007;4;4;9;48;34;45.430485;9.26738
305;106834;1;21;2007;4;4;16;8;21;45.51785;9.27263
306;106834;2;21;2007;4;4;16;12;48;45.503887;9.265636
307;106834;3;21;2007;4;4;16;15;14;45.491943;9.251862
308;106834;4;21;2007;4;4;16;19;26;45.478428;9.246428
309;106834;5;21;2007;4;4;16;29;6;45.468494;9.237179
310;106834;6;21;2007;4;4;21;28;11;45.469418;9.225571
311;106834;7;21;2007;4;4;21;33;19;45.468773;9.217242
312;106834;8;21;2007;4;4;21;39;28;45.48026;9.19878
313;106834;9;21;2007;4;4;21;48;28;45.47459;9.214751
314;106834;10;21;2007;4;4;21;53;37;45.479156;9.230803
315;106834;11;21;2007;4;4;21;57;36;45.489876;9.237058
316;106834;12;21;2007;4;4;21;59;49;45.50461;9.247197
317;106834;13;21;2007;4;4;22;0;0;45.513638;9.25982
318;106834;14;21;2007;4;4;22;0;56;45.513638;9.25982
319;106834;15;21;2007;4;4;22;1;27;45.513065;9.266318
320;106834;16;21;2007;4;4;22;2;0;45.51323;9.267759
321;106834;17;21;2007;4;4;22;2;32;45.515446;9.270151
322;106834;18;21;2007;4;4;22;3;4;45.51503;9.274101
323;106834;19;21;2007;4;4;22;3;36;45.51492;9.278077
324;107623;1;22;2007;4;4;11;24;51;45.553616;9.226808
325;107623;2;22;2007;4;4;11;32;4;45.533348;9.215687
326;107623;3;22;2007;4;4;11;34;24;45.5165;9.206356
327;107623;4;22;2007;4;4;11;37;58;45.499157;9.196622
328;107623;5;22;2007;4;4;11;42;9;45.48583;9.199961
329;107623;6;22;2007;4;4;11;50;54;45.479107;9.209731
330;107623;7;22;2007;4;4;11;57;24;45.489986;9.191587
331;107623;8;22;2007;4;4;12;0;12;45.506905;9.201155
332;107623;9;22;2007;4;4;12;3;22;45.52379;9.210706
333;107623;10;22;2007;4;4;12;6;42;45.54136;9.220681
334;107623;11;22;2007;4;4;12;8;57;45.542473;9.222649
335;107623;12;22;2007;4;4;12;17;56;45.542473;9.222651
336;107623;13;22;2007;4;4;12;21;1;45.548084;9.221948
337;107623;14;22;2007;4;4;12;21;33;45.55075;9.221798
338;107623;15;22;2007;4;4;12;22;9;45.55205;9.225821
339;107623;16;22;2007;4;4;12;22;40;45.55312;9.225673
340;107623;17;22;2007;4;4;12;23;12;45.55326;9.226517
341;107623;18;22;2007;4;4;12;23;50;45.553474;9.226773
342;107623;19;22;2007;4;4;12;24;32;45.553722;9.226731
343;107623;20;22;2007;4;4;12;25;6;45.553913;9.227116
344;107623;21;22;2007;4;4;12;26;0;45.55392;9.227019
345;107702;1;23;2007;4;4;11;9;55;45.4876;9.259201
346;107702;2;23;2007;4;4;11;13;51;45.486164;9.233791
347;107702;3;23;2007;4;4;11;21;39;45.481308;9.211892
348;107702;4;23;2007;4;4;11;30;23;45.47907;9.211932
349;107702;5;23;2007;4;4;11;44;36;45.479053;9.211967
350;107702;6;23;2007;4;4;11;55;17;45.492077;9.228958
351;107702;7;23;2007;4;4;11;57;15;45.505005;9.247634
352;107702;8;23;2007;4;4;11;58;5;45.51376;9.259852
353;107702;9;23;2007;4;4;11;58;37;45.51251;9.267252
354;107702;10;23;2007;4;4;11;59;10;45.512173;9.274054
355;107915;1;24;2007;4;4;21;41;35;45.378452;9.275758
356;107915;2;24;2007;4;4;21;42;41;45.393387;9.260731
357;107915;3;24;2007;4;4;21;43;56;45.41161;9.262352
358;107915;4;24;2007;4;4;21;45;12;45.425915;9.247386
359;107915;5;24;2007;4;4;21;46;35;45.438316;9.227512
360;107915;6;24;2007;4;4;21;49;46;45.455124;9.224111
361;107915;7;24;2007;4;4;21;55;29;45.468163;9.221788
362;107915;8;24;2007;4;4;21;59;31;45.468086;9.222364
363;107915;9;24;2007;4;4;23;37;17;45.46882;9.221678
364;107915;10;24;2007;4;4;23;41;56;45.451366;9.223647
365;107915;11;24;2007;4;4;23;44;10;45.435467;9.23297
366;107915;12;24;2007;4;4;23;45;27;45.42216;9.251036
367;107915;13;24;2007;4;4;23;46;42;45.406612;9.261056
368;107915;14;24;2007;4;4;23;47;53;45.388283;9.264151
369;108239;1;25;2007;4;4;18;31;50;45.485867;9.125494
370;108239;2;25;2007;4;4;18;36;51;45.488575;9.140856
371;108239;3;25;2007;4;4;18;41;30;45.486046;9.159162
372;108239;4;25;2007;4;4;18;47;4;45.477253;9.178428
373;108239;5;25;2007;4;4;18;53;29;45.475994;9.193718
374;108239;6;25;2007;4;4;18;54;5;45.475994;9.193718
375;108239;7;25;2007;4;4;18;55;30;45.476048;9.193435
376;108239;8;25;2007;4;4;19;1;19;45.47611;9.193615
377;108239;9;25;2007;4;4;19;7;15;45.478638;9.170826
378;108239;10;25;2007;4;4;19;11;46;45.490025;9.15171
379;108239;11;25;2007;4;4;19;18;37;45.496014;9.139379
380;108239;12;25;2007;4;4;19;19;39;45.496014;9.139378
381;108239;13;25;2007;4;4;19;22;48;45.49511;9.141665
382;108239;14;25;2007;4;4;19;38;5;45.495026;9.141845
383;108239;15;25;2007;4;4;19;46;32;45.49453;9.12726
384;108239;16;25;2007;4;4;19;54;14;45.486927;9.130486
385;108239;17;25;2007;4;4;19;56;49;45.48623;9.126997
386;108662;1;26;2007;4;4;12;58;23;45.555878;9.239824
387;108662;2;26;2007;4;4;12;58;56;45.55393;9.23905
388;108662;3;26;2007;4;4;12;59;28;45.549637;9.236563
389;108662;4;26;2007;4;4;13;0;1;45.547222;9.229548
390;108662;5;26;2007;4;4;13;0;33;45.544846;9.222655
391;108662;6;26;2007;4;4;13;1;5;45.544636;9.222342
392;108662;7;26;2007;4;4;13;1;38;45.544643;9.222334
393;108662;8;26;2007;4;4;13;2;11;45.541256;9.220188
394;108662;9;26;2007;4;4;13;2;44;45.5358;9.21711
395;108662;10;26;2007;4;4;13;3;16;45.533844;9.216043
396;108662;11;26;2007;4;4;13;3;49;45.533318;9.215753
397;108662;12;26;2007;4;4;13;4;21;45.53284;9.216707
398;108662;13;26;2007;4;4;13;4;54;45.53237;9.218443
399;108662;14;26;2007;4;4;13;5;26;45.53059;9.224087
400;108662;15;26;2007;4;4;13;6;0;45.530594;9.224223
401;108662;16;26;2007;4;4;13;6;32;45.530823;9.228341
402;108662;17;26;2007;4;4;13;7;4;45.527267;9.228751
403;108662;18;26;2007;4;4;13;7;37;45.526886;9.228707
404;108662;19;26;2007;4;4;13;8;9;45.525208;9.228374
405;108662;20;26;2007;4;4;13;8;41;45.521637;9.2273
406;108662;21;26;2007;4;4;13;9;14;45.520893;9.227122
407;108662;22;26;2007;4;4;13;9;46;45.521034;9.228818
408;108662;23;26;2007;4;4;13;10;19;45.521133;9.230067
409;108662;24;26;2007;4;4;13;10;57;45.521114;9.230114
410;108662;25;26;2007;4;4;16;9;16;45.521126;9.230167
411;108662;26;26;2007;4;4;16;28;5;45.532043;9.220173
412;108662;27;26;2007;4;4;16;38;0;45.545956;9.226678
413;108662;28;26;2007;4;4;16;45;42;45.55897;9.24126
414;108721;1;27;2007;4;4;5;45;5;45.55113;9.237973
415;108721;2;27;2007;4;4;5;51;18;45.53945;9.219161
416;108721;3;27;2007;4;4;5;55;53;45.522717;9.209825
417;108721;4;27;2007;4;4;6;0;33;45.506557;9.199811
418;108721;5;27;2007;4;4;6;7;4;45.510155;9.191499
419;108721;6;27;2007;4;4;9;29;28;45.51182;9.204519
420;108721;7;27;2007;4;4;9;34;45;45.528618;9.213481
421;108721;8;27;2007;4;4;9;36;3;45.530487;9.214723
422;108721;9;27;2007;4;4;9;55;22;45.53052;9.214763
423;108721;10;27;2007;4;4;9;58;52;45.54512;9.224481
424;108721;11;27;2007;4;4;10;1;27;45.557602;9.240752
425;108857;1;28;2007;4;4;15;18;20;45.504246;9.17877
426;108857;2;28;2007;4;4;15;25;41;45.504246;9.17877
427;108857;3;28;2007;4;4;15;36;36;45.493996;9.188437
428;108857;4;28;2007;4;4;15;42;42;45.48503;9.210368
429;108857;5;28;2007;4;4;15;51;32;45.480534;9.23069
430;108857;6;28;2007;4;4;15;54;44;45.482243;9.232583
431;108857;7;28;2007;4;4;16;1;57;45.482246;9.23258
432;108857;8;28;2007;4;4;16;9;17;45.48108;9.233274
433;108857;9;28;2007;4;4;16;24;12;45.480988;9.233289
434;108857;10;28;2007;4;4;20;3;37;45.484173;9.233641
435;108857;11;28;2007;4;4;20;9;31;45.48736;9.213472
436;108857;12;28;2007;4;4;20;15;10;45.496414;9.191394
